system,sltp_method,total_opened,decisive,wins,losses,be_count,win_rate,pnl_r,avg_win,avg_loss,expectancy,profit_factor,sharpe,max_dd,max_consec_l,trades_per_day,wf_mean_wr,wf_std_wr,wf_positive_pct,mc_pnl_p10,mc_pnl_p50,mc_pnl_p90,mc_ruin_pct,rank_score
macd_12_26_9,range_w60_q75_rr2.0,19083,17931,6333,11598,1152,35.318721766772626,1222.5119283165463,1.9451024926136125,-0.9566953991857302,0.06818252445295336,1.1101845741833352,7.698222121980449,73.20698211283764,21,99.61666666666666,35.328062109673986,0.7752667267991322,0.0,993.8721934063709,1212.2586354509413,1463.4546643464653,0.225,0.004067852690090539
macd_hist_12_26_9,range_w60_q75_rr2.0,19083,17931,6333,11598,1152,35.318721766772626,1222.5119283165463,1.9451024926136125,-0.9566953991857302,0.06818252445295336,1.1101845741833352,7.698222121980449,73.20698211283764,21,99.61666666666666,35.328062109673986,0.7752667267991322,0.0,993.8721934063709,1212.2586354509413,1463.4546643464653,0.225,0.004067852690090539
emacross_8_21,atr7_q50w50_rr3.0,11789,9879,2683,7196,1910,27.15861929345075,889.4766685853091,2.906261503204728,-0.9599793659900199,0.09003827264238307,1.128761814186273,6.077732366632379,109.13149529663929,29,54.88333333333333,27.15592345156167,1.455046058731768,0.0,664.8668198489139,889.0967977027965,1128.110774428793,0.27,0.00399476822428226
emafan_8_13_21,atr7_q50w50_rr3.0,12641,10636,2914,7722,2005,27.397517863858596,962.4226459272073,2.9169837108388212,-0.9761372056994247,0.09048129287075668,1.1276722354285977,6.289573598394368,113.57276110878047,28,59.08888888888889,27.413347559335705,1.4308178009233814,0.0,757.6506080826966,965.1707291901272,1188.8415389289235,0.3,0.003983621255519498
macd_12_26_9,range_w30_q75_rr3.0,18985,17059,4811,12248,1926,28.202122047013304,1357.9497354957873,2.723128626697415,-0.9587648282967823,0.07960725752167608,1.1156455591708931,7.191920961475482,91.86961428488394,31,94.77222222222223,28.20881353338551,0.8974698148552557,0.0,1105.873367472187,1368.3411525259744,1660.9532835719729,0.305,0.003979077273187246
macd_hist_12_26_9,range_w30_q75_rr3.0,18985,17059,4811,12248,1926,28.202122047013304,1357.9497354957873,2.723128626697415,-0.9587648282967823,0.07960725752167608,1.1156455591708931,7.191920961475482,91.86961428488394,31,94.77222222222223,28.20881353338551,0.8974698148552557,0.0,1105.873367472187,1368.3411525259744,1660.9532835719729,0.305,0.003979077273187246
emafan_13_21_34,range_w30_q75_rr3.0,8077,7067,1946,5121,1010,27.53643696052073,704.9012917076892,2.978807693868915,-0.9942920351085374,0.09975806713995883,1.1384568289757762,5.575557952374603,122.4432808339381,30,39.26111111111111,27.549698908040234,0.7015029216016178,0.0,522.3380180888735,708.977365286046,887.0224219703216,0.29,0.003949068880345591
emafan_8_13_21,atr21_q50w50_rr3.0,12623,10506,2873,7633,2117,27.346278317152105,932.9090651377446,2.91026396566752,-0.9731882006867778,0.08879143703794135,1.1255788160391298,6.147273381428616,131.2514148980191,33,58.36666666666667,27.36282425276125,1.347655651651459,0.0,719.0272055486356,942.6892658082622,1171.7681711157911,0.285,0.0039026504474252424
macd_8_21_5,atr21_q50w50_rr3.0,27271,25070,7664,17406,2201,30.570402871958517,1782.0765771424515,2.235297788192113,-0.8818666402062726,0.07106308373649672,1.1160637210494282,8.455180700757774,193.2657371599886,27,139.27777777777777,30.57897174964264,0.7165908808894011,0.0,1499.3639963891783,1779.4655756146458,2133.429171978981,0.36,0.003845447770529029
macd_hist_8_21_5,atr21_q50w50_rr3.0,27271,25070,7664,17406,2201,30.570402871958517,1782.0765771424515,2.235297788192113,-0.8818666402062726,0.07106308373649672,1.1160637210494282,8.455180700757774,193.2657371599886,27,139.27777777777777,30.57897174964264,0.7165908808894011,0.0,1499.3639963891783,1779.4655756146458,2133.429171978981,0.36,0.003845447770529029
